pk_species,euring,taxref,indicator,habitat_specialisation_f,habitat_specialisation,european_fbi,french_fbi,montane_lehikoinen,french_trim
TARCYA,11130,4030,FALSE,,,FALSE,FALSE,FALSE,FALSE
TETRAX,4420,3089,FALSE,,,TRUE,FALSE,FALSE,TRUE
TETRIX,3320,2960,FALSE,,,FALSE,FALSE,TRUE,FALSE
TETURO,3350,2964,FALSE,,,FALSE,FALSE,FALSE,FALSE
THRAET,1420,2687,FALSE,,,FALSE,FALSE,FALSE,FALSE
TICMUR,14820,3780,FALSE,,,FALSE,FALSE,TRUE,FALSE
TORTRA,2540,2864,FALSE,,,FALSE,FALSE,FALSE,FALSE
TRICIN,5550,2610,FALSE,,,FALSE,FALSE,FALSE,FALSE
TRIERY,5450,2584,FALSE,,,FALSE,FALSE,FALSE,FALSE
TRIFLA,5510,2600,FALSE,,,FALSE,FALSE,FALSE,FALSE
TRIGLA,5540,2607,FALSE,,,FALSE,FALSE,FALSE,FALSE
TRIMEL,5500,2597,FALSE,,,FALSE,FALSE,FALSE,FALSE
TRINEB,5480,2594,FALSE,,,FALSE,FALSE,FALSE,FALSE
TRIOCH,5530,2603,FALSE,,,FALSE,FALSE,FALSE,FALSE
TRISOL,5520,2605,FALSE,,,FALSE,FALSE,FALSE,FALSE
TRISTA,5470,2591,FALSE,,,FALSE,FALSE,FALSE,FALSE
TRITOT,5460,2586,FALSE,,,FALSE,FALSE,FALSE,TRUE
TRITOTROB,5462,2589,FALSE,,,FALSE,FALSE,FALSE,FALSE
TRITOTTOT,5461,2590,FALSE,,,FALSE,FALSE,FALSE,FALSE
TROTRO,10660,3967,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
TRYSUB,5160,2929,FALSE,,,FALSE,FALSE,FALSE,FALSE
TURDUS,,,FALSE,,,FALSE,FALSE,FALSE,FALSE
TURILI,12010,4137,FALSE,,,FALSE,FALSE,FALSE,FALSE
TURMER,11870,4117,TRUE,generaliste,generalist,FALSE,FALSE,FALSE,TRUE
TURNAU,11960,4123,FALSE,,,FALSE,FALSE,FALSE,FALSE
TUROBS,11950,4119,FALSE,,,FALSE,FALSE,FALSE,FALSE
TURPHI,12000,4129,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
TURPIL,11980,4127,FALSE,,,FALSE,FALSE,FALSE,TRUE
TURRUF,11970,4121,FALSE,,,FALSE,FALSE,FALSE,FALSE
TURRUFATR,11972,4136,FALSE,,,FALSE,FALSE,FALSE,FALSE
TURRUFRUF,11971,,FALSE,,,FALSE,FALSE,FALSE,FALSE
TURSYL,4000,,FALSE,,,FALSE,FALSE,FALSE,FALSE
TURTOR,11860,4112,FALSE,,,FALSE,FALSE,TRUE,TRUE
TURTORALP,11862,4114,FALSE,,,FALSE,FALSE,FALSE,FALSE
TURVIS,12020,4142,TRUE,milieux forestiers,woodland,FALSE,FALSE,FALSE,TRUE
TYTALB,7350,3482,FALSE,,,FALSE,FALSE,FALSE,FALSE
UPUEPO,8460,3590,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
URIAAL,6340,3379,FALSE,,,FALSE,FALSE,FALSE,FALSE
URILOM,6350,3382,FALSE,,,FALSE,FALSE,FALSE,FALSE
VANVAN,4930,3187,TRUE,milieux agricoles,farmland,TRUE,TRUE,FALSE,TRUE
VIROLI,16330,4560,FALSE,,,FALSE,FALSE,FALSE,FALSE
XENCIN,5550,2610,FALSE,,,FALSE,FALSE,FALSE,FALSE
ZOODAU,11700,4091,FALSE,,,FALSE,FALSE,FALSE,FALSE
ZOOSIB,11710,4095,FALSE,,,FALSE,FALSE,FALSE,FALSE
