"pk_species","ssi","ssi_old","ssi_2007","sti","sti_europe","thermal_niche_mean","thermal_niche_range","thermal_niche_max","thermal_niche_min","stri","exp_stri","trophic_vegetation","trophic_invertebrate","trophic_vertebrate"
"DENMIN",0.858045037008775,0.913494011,0.591457037,13.57163073,11.5509643269,11.9554,14.8884,18.9171,4.02869,2,7.39,0,100,0
"DENSYR",,,,,14.1598198356,,,,,,,,,
"DRYMAR",1.07339946870406,1.235040094,1.099124386,13.0688777,11.1193962821,11.3861,13.1613,17.5672,4.4059,2,7.39,0,100,0
"EGRALB",,,,,14.8916063035,,,,,,,,,
"EGRGAR",2.57996918195833,,,,15.9170075253,,,,,2.5,12.18,,,
"ELACAE",,,,,17.6925590282,,,,,,,,,
"EMBAUR",,,,,9.2122687509,,,,,,,,,
"EMBCAE",,,,,17.9868031147,,,,,,,,,
"EMBCIA",1.91017867969613,1.47,0.670555075,16.33432876,14.4204045966,15.816,16.8576,22.7405,5.88289,1.3,3.67,70,30,0
"EMBCIR",0.714233693556885,0.585544838,0.473802993,16.74480382,15.054509048,16.5473,11.8069,21.45,9.64315,1.3,3.67,70,30,0
"EMBCIT",0.681932991582784,0.711270832,0.577612205,13.50409633,11.5528442066,11.7548,12.8308,17.3722,4.54137,1.3,3.67,70,30,0
"EMBHOR",2.16648279718084,1.32,0.99133644,14.79068684,12.7263319124,13.1475,12.7177,19.3929,6.67514,1.95,7.03,5,95,0
"EMBLEU",,,,,8.2474313346,,,,,,,,,
"EMBMEL",,,,,16.637389023,,,,,,,,,
"EMBPUS",,,,,4.664674957,,,,,,,,,
"EMBSCH",2.50757192609449,,,,11.2704483494,,,,,1.3,3.67,,,
"EREALP",,,,,7.8950912062,,,,,,,,,
"ERIRUB",0.523051892667721,0.484040144,0.414871731,13.95446832,11.9984458235,12.2379,14.9169,19.5628,4.64583,1.83,6.23,17,83,0
"FALBIA",,,,,16.8611449212,,,,,,,,,
"FALCHE",,,,,14.2761528607,,,,,,,,,
"FALCOL",,,,,6.8232800153,,,,,,,,,
"FALELE",,,,,18.7438968456,,,,,,,,,
"FALNAU",,,,,16.7316737116,,,,,,,,,
"FALPER",1.91272171601622,,,,12.6432075879,,,,,3,20.09,,,
"FALRUS",,,,,3.744195596,,,,,,,,,
"FALSUB",1.25106234067398,1.5,1.280335459,14.68751501,12.6787682767,13.3098,13.8093,20.0283,6.21897,2.25,9.49,0,75,25
"FALTIN",0.632997195044685,0.680844536,0.656079062,14.40769144,12.4263636442,13.7595,21.4584,25.6245,4.16607,2.85,17.29,0,15,85
"FALVES",,,,,14.2518385654,,,,,,,,,
"FICALB",,,,,13.060432282,,,,,,,,,
"FICHYP",1.31600095981655,,,,10.4275102213,,,,,2,7.39,,,
"FICPAR",,,,,11.5985667049,,,,,,,,,
"FRAARC",,,,,8.0917042345,,,,,,,,,
"FRICOE",0.293070234331754,0.271685759,0.25144628,14.26139097,12.2951633877,13.0696,16.3341,21.132,4.79794,1.1,3,90,10,0
"FRIMON",,,,,7.0305345803,,,,,,,,,
"FULATR",,,,,12.9624637063,,,,,,,,,
"FULCRI",,,,,19.6963434419,,,,,,,,,
"FULGLA",,,,,8.4431048443,,,,,,,,,
"GALCHL",,,,,13.3437206998,,,,,,,,,
"GALCRI",1.82879113065987,0.443535603,1.437979058,16.44789755,14.4982323391,17.7215,19.0139,29.4257,10.4118,1.55,4.71,45,55,0
"GALGAL",,,,,10.2670472691,,,,,,,,,
"GALMED",,,,,8.1933367604,,,,,,,,,
"GALTHE",,,,,16.8013107544,,,,,,,,,
"GARGLA",0.449624846662632,0.699788753,0.439797767,14.40842523,12.466780849,12.9317,15.4567,20.6722,5.21551,1.72,5.58,28,72,0
"GAVADA",,,,,-4.9098658453,,,,,,,,,
"GAVARC",,,,,6.8298651422,,,,,,,,,
"GAVIMM",,,,,4.2097109413,,,,,,,,,
"GAVSTE",,,,,6.0510534453,,,,,,,,,
"GELNIL",,,,,17.0430205323,,,,,,,,,
"GLANOR",,,,,15.2276734574,,,,,,,,,
"GLAPAS",,,,,8.6304441647,,,,,,,,,
"GLAPRA",,,,,17.4814415676,,,,,,,,,
"GRUGRU",,,,,9.5005692263,,,,,,,,,
"GYPBAR",,,,,12.7929708067,,,,,,,,,
"GYPFUL",,,,,15.2044334089,,,,,,,,,
"HAEOST",,,,,10.4739718085,,,,,,,,,
"HALALB",,,,,10.7599084713,,,,,,,,,
"HIEFAS",,,,,16.8333834248,,,,,,,,,
"HIEPEN",,,,,15.1247451755,,,,,,,,,
"HIMHIM",,,,,16.2910576132,,,,,,,,,
"HIPCAL",,,,,11.8382462894,,,,,,,,,
"HIPICT",1.9964907319802,,,,11.3916568563,,,,,1.95,7.03,,,
"HIPOLI",,,,,17.7627863089,,,,,,,,,
"HIPPAL",,,,,16.7488809702,,,,,,,,,
"HIPPOL",0.536869327517603,0.721199847,0.395575493,16.42257122,14.8355701427,16.1998,13.4147,21.5603,8.14565,1.95,7.03,5,95,0
"HIRDAU",,,,,16.6554198353,,,,,,,,,
"HIRRUS",0.763720040502373,1.140952524,1.00693977,14.35723092,12.4305273248,13.7202,19.2028,24.3558,5.15301,2,7.39,0,100,0
"HISHIS",,,,,3.5649961244,,,,,,,,,
"HYDPEL",,,,,13.9624652971,,,,,,,,,
"IXOMIN",,,,,14.293485146,,,,,,,,,
"JYNTOR",0.78975128351443,1.314646828,0.468726416,13.92970211,11.8812540667,12.5214,14.1635,19.1389,4.97541,2,7.39,0,100,0
