SPECIES,ENGL_NAME,STI,EURING
Chlidonias hybrida,Whiskered Tern,14.8787948952,
Ciconia ciconia,White Stork,13.6109777723,01340
Motacilla alba,white wagtail,11.9859302219,
Dendrocopos leucotos,White-backed Woodpecker,11.4358853032,
Oxyura leucocephala,White-headed Duck,17.8705377499,02260
Apus caffer,White-rumped Swift,19.2680115916,
Haliaeetus albicilla,White-tailed Eagle,10.7599084713,02430
Cinclus cinclus,White-throated Dipper,11.0150016531,10500
Melanocorypha leucoptera,White-winged Lark,16.0469291126,
Montifringilla nivalis,White-winged Snowfinch,9.8050400066,
Chlidonias leucopterus,White-winged Tern,13.1741252005,06280
Zoothera aurea,White's Thrush,7.2192891768,
Cygnus cygnus,Whooper Swan,6.2650898152,01540
Meleagris gallopavo,Wild Turkey,12.5897818915,
Lagopus lagopus,Willow Ptarmigan,6.7378701704,03290
Parus montanus,Willow Tit,10.1957890957,14420
Phylloscopus trochilus,Willow Warbler,10.4596695622,13120
Troglodytes troglodytes,Winter Wren,12.2368253494,10660
Aix sponsa,Wood Duck,12.3347769782,
Lullula arborea,Wood Lark,13.4719748078,09740
Tringa glareola,Wood Sandpiper,7.6706167812,05540
Phylloscopus sibilatrix,Wood Warbler,11.3755910555,13080
Lanius senator,Woodchat Shrike,15.8753774905,15230
Motacilla flava,yellow wagtail,12.136968586,
Pyrrhocorax graculus,Yellow-billed Chough,11.3930648722,
Gavia adamsii,Yellow-billed Loon,-4.9098658453,00050
Emberiza aureola,Yellow-breasted Bunting,9.2122687509,18760
Phylloscopus inornatus,Yellow-browed Warbler,3.9717214356,13000
Emberiza citrinella,Yellowhammer,11.5528442066,18570
Cisticola juncidis,Zitting Cisticola,16.8491453521,
Bucanetes mongolicus,,15.3013708514,
Hoplopterus spinosus,,17.5775278939,
